# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       2.977901000264e+04       8.203555135797e-07       1.505787212583e+01       2.019207022787e+03       1.417236868306e+04       4.759020793412e-01       4.220532811427e+08       8.645195065662e+00       2.164105501438e+06       6.541212711074e+04       3.505690370310e+01       3.541896786478e-08       3.505834557283e+05       0.000000000000e+00       1.497060859692e+06       4.077197000873e+06       8.923542233648e-02       1.133381568462e-01 
       2.957196230121e+04       8.317019797869e-07       1.516111070794e+01       1.991938393957e+03       1.417226544448e+04       4.792304977813e-01       4.191158717123e+08       8.704133271750e+00       2.104545843821e+06       6.405724303665e+04       3.433076861757e+01       3.541896786478e-08       3.433218062179e+05       0.000000000000e+00       1.455859341478e+06       3.967818565322e+06       8.930602452847e-02       1.133765445193e-01 
       2.936635388508e+04       8.432037734059e-07       1.526503497424e+01       1.965042394303e+03       1.417216152021e+04       4.825821752845e-01       4.161988826805e+08       8.763458311201e+00       2.046625299758e+06       6.273042126446e+04       3.361967321136e+01       3.541896786478e-08       3.362105596864e+05       0.000000000000e+00       1.415791711026e+06       3.861391611408e+06       8.937670682371e-02       1.134156611073e-01 
       2.916217474943e+04       8.548629948230e-07       1.536964924505e+01       1.938513897425e+03       1.417205690594e+04       4.859572741207e-01       4.133021721068e+08       8.823172557655e+00       1.990298761381e+06       6.143108059136e+04       3.292330599527e+01       3.541896786478e-08       3.292466011138e+05       0.000000000000e+00       1.376826764119e+06       3.757836130511e+06       8.944746978022e-02       1.134555094637e-01 
       2.895941495900e+04       8.666817723206e-07       1.547495786498e+01       1.912347847698e+03       1.417195159732e+04       4.893559576886e-01       4.104255990373e+08       8.883278397207e+00       1.935522362145e+06       6.015865185159e+04       3.224136193124e+01       3.541896786478e-08       3.224268799939e+05       0.000000000000e+00       1.338934155244e+06       3.657074290597e+06       8.951831395943e-02       1.134960924468e-01 
       2.875806464758e+04       8.786622624380e-07       1.558096520301e+01       1.886539259291e+03       1.417184558998e+04       4.927783905230e-01       4.075690234979e+08       8.943778228436e+00       1.882253442671e+06       5.891257766717e+04       3.157354229871e+01       3.541896786478e-08       3.157484089984e+05       0.000000000000e+00       1.302084373969e+06       3.559030376848e+06       8.958923992613e-02       1.135374129187e-01 
       2.855811401755e+04       8.908066503370e-07       1.568767565260e+01       1.861083215202e+03       1.417173887953e+04       4.962247383032e-01       4.047323064876e+08       9.004674462451e+00       1.830450517521e+06       5.769231220376e+04       3.091955456382e+01       3.541896786478e-08       3.092082626682e+05       0.000000000000e+00       1.266248721960e+06       3.463630733908e+06       8.966024824854e-02       1.135794737458e-01 
       2.835955333940e+04       9.031171501716e-07       1.579509363181e+01       1.835974866306e+03       1.417163146155e+04       4.996951678607e-01       4.019153099717e+08       9.065969522924e+00       1.780073242898e+06       5.649732093155e+04       3.027911225127e+01       3.541896786478e-08       3.028035761326e+05       0.000000000000e+00       1.231399290634e+06       3.370803709708e+06       8.973133949828e-02       1.136222777982e-01 
       2.816237295124e+04       9.155960054627e-07       1.590322358338e+01       1.811209430417e+03       1.417152333160e+04       5.031898471868e-01       3.991178968752e+08       9.127665846129e+00       1.731082385228e+06       5.532708039123e+04       2.965193481884e+01       3.541896786478e-08       2.965315438538e+05       0.000000000000e+00       1.197508939423e+06       3.280479600831e+06       8.980251425043e-02       1.136658279498e-01 
       2.796656325836e+04       9.282454894771e-07       1.601206997483e+01       1.786782191361e+03       1.417141448521e+04       5.067089454414e-01       3.963399310756e+08       9.189765880983e+00       1.683439790609e+06       5.418107796462e+04       2.903774753449e+01       3.541896786478e-08       2.903894183988e+05       0.000000000000e+00       1.164551274646e+06       3.192590599366e+06       8.987377308350e-02       1.137101270781e-01 
       2.777211473274e+04       9.410679056116e-07       1.612163729857e+01       1.762688498066e+03       1.417130491789e+04       5.102526329602e-01       3.935812773972e+08       9.252272089077e+00       1.637108355098e+06       5.305881165021e+04       2.843628135611e+01       3.541896786478e-08       2.843745092355e+05       0.000000000000e+00       1.132500628949e+06       3.107070741214e+06       8.994511657946e-02       1.137551780639e-01 
       2.757901791260e+04       9.540655877813e-07       1.623193007199e+01       1.738923763658e+03       1.417119462511e+04       5.138210812634e-01       3.908418016035e+08       9.315186944719e+00       1.592051995820e+06       5.195978984328e+04       2.784727281358e+01       3.541896786478e-08       2.784841815544e+05       0.000000000000e+00       1.101332041323e+06       3.023855855813e+06       9.001654532379e-02       1.138009837912e-01 
