# Matter power spectrum P(k) at redshift z=0
# for k=2.08005e-07 to 100.006 h/Mpc,
# number of wavenumbers equal to 1835
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.727114587589e-06       2.318886021548e+01 
       4.774676543862e-06       2.341403983267e+01 
       4.822717045692e-06       2.364140603267e+01 
       4.871240907974e-06       2.387098033932e+01 
       4.920252994051e-06       2.410278422764e+01 
       4.969758216193e-06       2.433683875988e+01 
       5.019761536101e-06       2.457316612848e+01 
       5.070267965395e-06       2.481178832770e+01 
       5.121282566118e-06       2.505272746632e+01 
       5.172810451249e-06       2.529600671984e+01 
       5.224856785208e-06       2.554164802937e+01 
       5.277426784379e-06       2.578967480531e+01 
       5.330525717629e-06       2.604011023508e+01 
       5.384158906838e-06       2.629297733441e+01 
       5.438331727435e-06       2.654830016387e+01 
       5.493049608930e-06       2.680610217238e+01 
       5.548318035464e-06       2.706640765623e+01 
       5.604142546358e-06       2.732924092162e+01 
       5.660528736664e-06       2.759462654009e+01 
       5.717482257732e-06       2.786258896806e+01 
       5.775008817770e-06       2.813315364062e+01 
       5.833114182422e-06       2.840634563370e+01 
       5.891804175342e-06       2.868219061675e+01 
       5.951084678779e-06       2.896071401146e+01 
       6.010961634165e-06       2.924194206682e+01 
       6.071441042714e-06       2.952590120931e+01 
       6.132528966020e-06       2.981261769502e+01 
       6.194231526667e-06       3.010211840371e+01 
       6.256554908839e-06       3.039443034871e+01 
       6.319505358945e-06       3.068958072614e+01 
       6.383089186241e-06       3.098759728391e+01 
       6.447312763465e-06       3.128850772220e+01 
       6.512182527472e-06       3.159234021294e+01 
       6.577704979884e-06       3.189912314551e+01 
       6.643886687738e-06       3.220888508934e+01 
       6.710734284145e-06       3.252165501626e+01 
       6.778254468957e-06       3.283746223408e+01 
       6.846454009434e-06       3.315633604194e+01 
       6.915339740928e-06       3.347830626960e+01 
       6.984918567562e-06       3.380340305657e+01 
       7.055197462926e-06       3.413165677133e+01 
       7.126183470777e-06       3.446309802761e+01 
       7.197883705740e-06       3.479775778882e+01 
       7.270305354026e-06       3.513566726103e+01 
       7.343455674148e-06       3.547685811413e+01 
       7.417341997653e-06       3.582136204266e+01 
       7.491971729854e-06       3.616921139917e+01 
       7.567352350570e-06       3.652043858400e+01 
       7.643491414883e-06       3.687507627761e+01 
       7.720396553887e-06       3.723315777404e+01 
       7.798075475457e-06       3.759471647633e+01 
       7.876535965023e-06       3.795978620747e+01 
       7.955785886345e-06       3.832840084348e+01 
       8.035833182308e-06       3.870059494173e+01 
       8.116685875711e-06       3.907640343021e+01 
       8.198352070076e-06       3.945586110316e+01 
       8.280839950461e-06       3.983900361718e+01 
       8.364157784274e-06       4.022586658729e+01 
       8.448313922109e-06       4.061648626412e+01 
       8.533316798577e-06       4.101089914533e+01 
       8.619174933157e-06       4.140914189043e+01 
       8.705896931044e-06       4.181125183471e+01 
       8.793491484016e-06       4.221726653688e+01 
       8.881967371304e-06       4.262722384501e+01 
       8.971333460469e-06       4.304116214047e+01 
       9.061598708296e-06       4.345911990413e+01 
       9.152772161687e-06       4.388113631189e+01 
       9.244862958570e-06       4.430725075783e+01 
       9.337880328814e-06       4.473750301397e+01 
       9.431833595156e-06       4.517193324017e+01 
       9.526732174133e-06       4.561058203783e+01 
       9.622585577027e-06       4.605349036221e+01 
       9.719403410816e-06       4.650069955642e+01 
       9.817195379142e-06       4.695225140572e+01 
       9.915971283278e-06       4.740818807400e+01 
       1.001574102311e-05       4.786855220181e+01 
       1.011651459815e-05       4.833338654239e+01 
       1.021830210848e-05       4.880273478157e+01 
       1.032111375585e-05       4.927664060748e+01 
       1.042495984464e-05       4.975514844074e+01 
       1.052985078288e-05       5.023830276156e+01 
       1.063579708336e-05       5.072614865580e+01 
       1.074280936462e-05       5.121873190573e+01 
       1.085089835205e-05       5.171609819729e+01 
       1.096007487895e-05       5.221829444877e+01 
       1.107034988762e-05       5.272536714774e+01 
       1.118173443046e-05       5.323736375904e+01 
       1.129423967106e-05       5.375433209151e+01 
       1.140787688535e-05       5.427632051054e+01 
       1.152265746271e-05       5.480337768481e+01 
       1.163859290710e-05       5.533555277972e+01 
       1.175569483824e-05       5.587289547162e+01 
       1.187397499276e-05       5.641545624313e+01 
       1.199344522537e-05       5.696328543164e+01 
       1.211411751008e-05       5.751643430877e+01 
       1.223600394136e-05       5.807495438899e+01 
       1.235911673535e-05       5.863889813790e+01 
       1.248346823114e-05       5.920831799927e+01 
       1.260907089195e-05       5.978326713636e+01 
       1.273593730639e-05       6.036379930347e+01 
       1.286408018976e-05       6.094996867832e+01 
       1.299351238526e-05       6.154183000214e+01 
       1.312424686535e-05       6.213943855144e+01 
       1.325629673297e-05       6.274285023209e+01 
       1.338967522292e-05       6.335212114869e+01 
       1.352439570318e-05       6.396730838171e+01 
       1.366047167619e-05       6.458846938393e+01 
       1.379791678028e-05       6.521566213080e+01 
       1.393674479098e-05       6.584894518358e+01 
       1.407696962244e-05       6.648837756882e+01 
       1.421860532880e-05       6.713401910388e+01 
       1.436166610559e-05       6.778593004068e+01 
       1.450616629120e-05       6.844417129035e+01 
       1.465212036827e-05       6.910880430293e+01 
       1.479954296515e-05       6.977989113424e+01 
       1.494844885739e-05       7.045749452374e+01 
       1.509885296918e-05       7.114167758079e+01 
       1.525077037490e-05       7.183250432709e+01 
       1.540421630059e-05       7.253003925576e+01 
       1.555920612546e-05       7.323434750411e+01 
       1.571575538351e-05       7.394549474003e+01 
       1.587387976499e-05       7.466354741440e+01 
       1.603359511803e-05       7.538857263442e+01 
       1.619491745025e-05       7.612063815683e+01 
       1.635786293027e-05       7.685981206003e+01 
       1.652244788944e-05       7.760616364652e+01 
       1.668868882342e-05       7.835976244906e+01 
       1.685660239381e-05       7.912067890036e+01 
       1.702620542989e-05       7.988898403568e+01 
       1.719751493025e-05       8.066474966788e+01 
       1.737054806452e-05       8.144804809956e+01 
       1.754532217506e-05       8.223895246852e+01 
       1.772185477875e-05       8.303753678136e+01 
       1.790016356869e-05       8.384387551694e+01 
       1.808026641603e-05       8.465804387326e+01 
       1.826218137171e-05       8.548011797475e+01 
       1.844592666829e-05       8.631017458906e+01 
       1.863152072177e-05       8.714829113335e+01 
       1.881898213347e-05       8.799454596799e+01 
       1.900832969185e-05       8.884901806167e+01 
       1.919958237440e-05       8.971178719644e+01 
       1.939275934958e-05       9.058293392092e+01 
       1.958787997869e-05       9.146253941402e+01 
       1.978496381784e-05       9.235068612628e+01 
       1.998403061991e-05       9.324745677512e+01 
       2.018510033651e-05       9.415293505828e+01 
       2.038819312002e-05       9.506720566496e+01 
       2.059332932556e-05       9.599035380766e+01 
       2.080052951306e-05       9.692246574665e+01 
       2.100981444932e-05       9.786362857905e+01 
       2.122120511008e-05       9.881393000222e+01 
       2.143472268212e-05       9.977345888075e+01 
       2.165038856540e-05       1.007423047132e+02 
       2.186822437521e-05       1.017205581190e+02 
       2.208825194430e-05       1.027083103369e+02 
       2.231049332509e-05       1.037056533721e+02 
       2.253497079190e-05       1.047126807279e+02 
       2.276170684315e-05       1.057294860955e+02 
       2.299072420364e-05       1.067561645505e+02 
       2.322204582680e-05       1.077928118971e+02 
       2.345569489701e-05       1.088395249285e+02 
       2.369169483193e-05       1.098964012561e+02 
       2.393006928483e-05       1.109635397699e+02 
       2.417084214697e-05       1.120410399252e+02 
       2.441403755000e-05       1.131290023701e+02 
       2.465967986835e-05       1.142275287871e+02 
       2.490779372170e-05       1.153367215135e+02 
       2.515840397747e-05       1.164566841218e+02 
       2.541153575325e-05       1.175875212317e+02 
       2.566721441936e-05       1.187293384375e+02 
       2.592546560140e-05       1.198822423283e+02 
       2.618631518277e-05       1.210463404788e+02 
       2.644978930733e-05       1.222217415312e+02 
       2.671591438197e-05       1.234085552326e+02 
       2.698471707928e-05       1.246068925295e+02 
       2.725622434020e-05       1.258168651061e+02 
       2.753046337677e-05       1.270385858687e+02 
       2.780746167479e-05       1.282721688560e+02 
       2.808724699662e-05       1.295177293026e+02 
       2.836984738396e-05       1.307753836040e+02 
